id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7054114,Home in Montréal · ★4.98 · 1 bedroom · 1 bed · 1 bath,11737975,Catherine,,Mercier-Hochelaga-Maisonneuve,45.57343,-73.54337,Entire home/apt,100,3,43,2023-12-01,0.75,1,290,40,"312901, expires: 2024-04-30"
808244659588710234,Condo in Montréal · ★4.75 · 1 bedroom · 1 bed · 1 bath,479249701,Kasole,,Ville-Marie,45.53540618189436,-73.55609594257099,Entire home/apt,120,3,4,2023-11-12,0.44,1,5,4,"313330, expires: 2024-06-21"
26812612,Rental unit in Montréal · ★4.82 · 1 bedroom · 1 bed · 1 bath,174262397,David,,Verdun,45.46559,-73.57416,Entire home/apt,59,31,39,2022-06-18,0.60,2,319,0,
907098556699696988,Rental unit in Montréal · 1 bedroom · 1 bed · 1.5 baths,133262349,Maciek,,Le Sud-Ouest,45.48874868768525,-73.56065413441888,Entire home/apt,99,31,1,2023-09-22,0.36,1,70,1,
8760268,Rental unit in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 bath,22480535,Amélie,,Le Sud-Ouest,45.47136,-73.58603,Entire home/apt,85,31,19,2023-10-28,0.27,2,131,5,
929655032013785091,Rental unit in Montréal · 2 bedrooms · 2 beds · 1 bath,456312310,Jeremy,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49179,-73.64439,Entire home/apt,80,31,1,2023-09-28,0.39,16,329,1,
966247522741440461,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,460035320,Joelle,,Le Sud-Ouest,45.46299,-73.58311,Private room,26,32,0,,,12,243,0,
17936071,Home in Montréal · ★4.75 · 4 bedrooms · 6 beds · 2.5 baths,121712538,Paris,,Le Sud-Ouest,45.48678,-73.57474,Entire home/apt,366,2,143,2023-11-21,1.75,3,249,21,"297014, expires: 2023-12-31"
2550699,Rental unit in Montréal · ★4.98 · 1 bedroom · 1 bed · 1 bath,13059341,Francis,,Ville-Marie,45.52011,-73.55522,Entire home/apt,350,31,45,2023-06-20,0.40,1,362,1,
828998607211198170,Rental unit in Montréal · ★5.0 · 2 bedrooms · 2 beds · 1 bath,489341864,Xin,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4642887534255,-73.61461440112379,Entire home/apt,99,1,20,2023-10-16,2.22,12,105,20,"300481, expires: 2024-10-31"
917246953044460069,Rental unit in Montréal · ★4.67 · 1 bedroom · 2 beds · 1 bath,511302140,Adam,,Ville-Marie,45.509735,-73.563143,Entire home/apt,171,2,3,2023-08-22,0.53,8,120,3,"311579, expires: 2024-12-22"
588408464487647499,Townhouse in Montréal · ★5.0 · 3 bedrooms · 3 beds · 1.5 baths,11795578,Thomas,,Rosemont-La Petite-Patrie,45.53655,-73.60271,Entire home/apt,400,4,4,2023-07-20,0.23,1,67,2,"313328, expires: 2024-05-03"
850309250060123584,Condo in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 private bath,20585216,Manuel,,Ville-Marie,45.51678717331892,-73.56146398164331,Private room,150,3,8,2023-10-17,1.34,1,79,8,"311893, expires: 2024-02-14T01:00:00Z"
894117038732270526,Rental unit in Montréal · 2 bedrooms · 2 beds · 1 bath,72578556,Julie,,Mercier-Hochelaga-Maisonneuve,45.57311,-73.53332,Entire home/apt,50,31,2,2023-11-13,0.44,2,290,2,
39343288,Loft in Montréal · ★4.77 · 1 bedroom · 1 bed · 1 bath,8659457,X,,Ville-Marie,45.499792293988975,-73.55582711838913,Entire home/apt,250,31,13,2023-06-14,0.31,1,364,2,
957985523138780830,Rental unit in Montréal · ★4.70 · 1 bedroom · 1 bed · 1 bath,143444535,Minh Le,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4878926,-73.64044109999999,Entire home/apt,80,2,10,2023-12-01,2.70,3,86,10,"306558, expires: 2024-09-30T20:32:24Z"
934963207969643061,Rental unit in Montréal · 3 bedrooms · 3 beds · 2 baths,41278086,Mireille,,Verdun,45.4462943,-73.5765535,Entire home/apt,250,2,0,,,1,8,0,"314529, expires: 2024-07-12"
869562373550798976,Rental unit in Montréal · 4 bedrooms · 4 beds · 2 baths,434955825,Gabrielle,,Ahuntsic-Cartierville,45.54870318242845,-73.64096118073125,Entire home/apt,200,31,0,,,81,73,0,
651992744525417880,Condo in Montréal · 1 bedroom · 2 beds · 1 bath,249925211,Ahmad,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48289,-73.63445,Entire home/apt,66,31,0,,,8,323,0,
8615073,Rental unit in Montréal · ★4.93 · 2 bedrooms · 4 beds · 1 bath,7250257,Stewie,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47201,-73.64476,Entire home/apt,1400,32,29,2023-08-02,0.29,18,220,2,
32869503,Rental unit in Montréal · ★4.82 · 2 bedrooms · 2 beds · 1 bath,6003290,Chantal Et Jean-Michel,,Mercier-Hochelaga-Maisonneuve,45.54547,-73.54873,Entire home/apt,125,58,11,2023-03-01,0.19,2,89,1,
944839960774783002,Rental unit in Montréal · 3 bedrooms · 3 beds · 1 bath,5707748,Juliette,,Ahuntsic-Cartierville,45.54864160393112,-73.64588659063878,Entire home/apt,80,60,0,,,3,184,0,
35288362,Condo in Montréal · ★4.91 · Studio · 1 bed · 1 bath,170625437,Dan,,LaSalle,45.4277,-73.66316,Entire home/apt,55,32,69,2023-10-28,1.25,3,87,5,
